_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
680,893,4143,Solar de Cahuenga,90028,1847 Cahuenga Blvd,3234677510,Solar de Cahuenga,90028,1847 N Cahuenga Blvd,3234677510,1
706,941,1169,Fords Filling Station,90015,900 W Olympic Blvd,2137658630,Ford’s Filling Station,90015,900 West Olympic Blvd,2137658600,1
719,956,993,Palomino - Los Angeles,90024,10877 Wilshire Blvd Ste 150,3102081960,Palomino,90024,10877 Wilshire Blvd,3102081960,1
731,971,1566,Sweetie Pie's,91601,5230 Lankershim Blvd,8187611325,Sweetie Pie’s NoHo,91601,5230 Lankershim Blvd,8187611325,1
743,989,1048,Birds Rotisserie Chicken Cafe and Bar,90028,5925 Franklin Ave,3234650175,Birds Rotisserie Chicken Cafe & Bar,90028,5925 Franklin Ave,3234650175,1
745,993,2397,Taylor's Steakhouse,90005,3361 W 8th St,2133828449,Taylor’s Steakhouse,90005,3361 W 8th St,2133828449,1
758,1004,3982,Fratelli Cafe,90046,7200 Melrose Ave,3239382233,Fratelli Cafe,90046,7200 Melrose Ave,3239382233,1
760,1006,1270,Orleans and York Deli,90043,4454 W Slauson Ave,3232918800,Orleans and York Deli,90043,4454 W Slauson Ave,3232918800,1
770,1025,1787,Denny's,90028,5751 West Sunset Blvd,2134648435,Denny’s,90028,5751 Sunset Blvd,3234648435,1
793,1067,1121,The Park's Finest,90026,1267 W Temple St,2134182800,The Park’s Finest,90026,1267 W Temple St,2134812800,1
810,1099,1035,Fundamental,90024,1303 Westwood Blvd,3104447581,fundamental LA,90024,1303 Westwood Blvd,3104447581,1
842,1163,1541,Spare Tire Kitchen & Tavern,90036,5370 Wilshire Blvd,3235252618,Spare Tire,90036,5370 Wilshire Blvd,3235252618,1
851,1173,4329,The Wood Cafe,90066,12000 W Washington Blvd,3109159663,The Wood,90066,12000 W Washington Blvd,3109159663,1
853,1179,1147,Spitz,90012,371 E 2nd St,2136130101,Spitz - Little Tokyo,90012,371 E 2nd St,2136130101,1
