filename,instance,Positive Prewords,Negative Prewords,Contain Negative,len of char,All capatalized,len of words,including digit,labels
16.txt,restaurant,0,0,0,10,0,1,0,0
16.txt,Gracias Madre,0,0,0,13,1,2,0,1
16.txt,Gracias Madre,0,0,0,13,1,2,0,1
16.txt,necessity,0,0,0,9,0,1,0,0
87.txt,Fishing With Dynamite,0,0,-2,21,1,3,0,1
87.txt,Love and Salt,0,0,0,13,0,3,0,1
87.txt,Love and Salt,0,0,0,13,0,3,0,1
87.txt,sooooooo,0,0,0,8,0,1,0,0
87.txt,top 15,0,0,0,6,0,2,1,0
161.txt,Casa Nostra,0,0,0,11,1,2,0,1
161.txt,Pantry CafÃ©,0,0,0,12,1,2,1,1
161.txt,Casa Nostra,0,0,0,11,1,2,0,1
161.txt,rated Italian,0,0,0,13,0,2,0,0
161.txt,blended,0,-2,0,7,0,1,0,0
95.txt,Erven,1,0,0,5,1,1,0,1
95.txt,Saint Martha,0,0,-2,12,1,2,0,1
95.txt,Erven,0,0,0,5,1,1,0,1
95.txt,Erven's,0,0,0,7,1,1,1,1
95.txt,Erven,0,0,0,5,1,1,0,1
95.txt,pastries and juices,1,0,0,19,0,3,0,0
95.txt,salads,0,0,0,6,0,1,0,0
164.txt,Corazon,0,0,-2,7,1,1,0,1
164.txt,margaritas,0,0,0,10,0,1,0,0
164.txt,selection,0,0,-2,9,0,1,0,0
164.txt,Corazon,0,0,-2,7,1,1,0,1
164.txt,Corazon,1,0,-2,7,1,1,0,1
23.txt,Mar¨¦,0,0,0,5,1,1,1,1
23.txt,Melrose Avenue,0,-2,0,14,1,2,0,0
23.txt,Santa Monica,0,-2,-2,12,1,2,0,0
23.txt,European city,0,0,0,13,0,2,0,0
23.txt,Mar¨¦,0,0,0,5,1,1,1,1
23.txt,brain-child,0,0,-2,11,0,1,1,0
23.txt,Eric Greenspan,0,-2,0,14,1,2,0,0
23.txt,Mar¨¦¡¯s,0,-2,0,8,1,1,1,1
23.txt,Melrose location,0,0,-2,16,0,2,0,0
1.txt,Kali,1,0,0,4,1,1,0,1
1.txt,Melrose,0,-2,0,7,1,1,0,0
1.txt,Patina,0,0,-2,6,1,1,0,1
1.txt,Kevin Meehan,0,-2,-2,12,1,2,0,0
1.txt,Kali,1,0,0,4,1,1,0,1
1.txt,California,0,-2,0,10,1,1,0,0
1.txt,Kali's,0,-2,0,6,1,1,1,1
1.txt,New England,0,0,0,11,1,2,0,0
46.txt,focaccia-by-the-slice,0,0,0,21,0,1,1,0
46.txt,Di Alba,0,0,0,7,1,2,0,1
46.txt,Toppings,0,0,-2,8,1,1,0,0
46.txt,Di Alba,0,0,0,7,1,2,0,1
18.txt,great restaurant,0,0,0,16,0,2,0,0
18.txt,Salazar's,0,0,0,9,1,1,1,1
18.txt,Salazar's,0,0,0,9,1,1,1,1
18.txt,Sonoran-style,0,0,-2,13,1,1,1,0
18.txt,carne asada,0,0,0,11,0,2,0,0
18.txt,flour tortillas,0,-2,0,15,0,2,0,0
39.txt,Hollywood Blvd,0,0,-2,14,1,2,0,0
39.txt,killer daytime,0,0,0,14,0,2,0,0
39.txt,Kismet,0,0,0,6,1,1,0,1
39.txt,Madcapra,0,-2,0,8,1,1,0,1
