filename,instance,Positive Prewords,Negative Prewords,Contain Negative,len of char,All capatalized,len of words,including digit,labels
31.txt,Joe's Falafel,0,0,0,13,1,2,1,1
31.txt,Providence,0,0,0,10,1,1,0,1
31.txt,Michael Cimarusti,0,0,0,17,1,2,0,0
31.txt,Guisado's,0,0,0,9,1,1,1,1
31.txt,Genwa Korean BBQ,0,0,0,16,1,3,0,1
31.txt,top of Yelp's,0,0,0,13,0,3,1,0
31.txt,Los Angeles,0,-2,-2,11,1,2,0,0
31.txt,Los Angeles,0,-2,-2,11,1,2,0,0
184.txt,Galeâ€™s,0,0,0,8,1,1,1,1
184.txt,Galeâ€™s,0,0,0,8,1,1,1,1
184.txt,hubbub,0,0,0,6,0,1,0,0
184.txt,families,0,0,0,8,0,1,0,0
184.txt,Galeâ€™s,0,0,0,8,1,1,1,1
14.txt,Fishing With Dynamite,0,0,-2,21,1,3,0,1
14.txt,Love and Salt,0,0,0,13,0,3,0,1
14.txt,Love and Salt,0,0,0,13,0,3,0,1
14.txt,sooooooo,0,0,0,8,0,1,0,0
14.txt,top 15,0,0,0,6,0,2,1,0
44.txt,Silver Lake,0,0,0,11,1,2,0,1
44.txt,brand new,0,0,0,9,0,2,0,0
44.txt,at the register,0,0,0,15,0,3,0,0
44.txt,LA,0,-2,-2,2,1,1,0,0
44.txt,Fat Dragon,0,0,-2,10,1,2,0,1
126.txt,house-made,0,0,0,10,0,1,1,0
126.txt,waffles,0,0,0,7,0,1,0,0
126.txt,Red Herring,0,-2,-2,11,1,2,0,1
126.txt,Red Herring,0,0,-2,11,1,2,0,1
182.txt,Restaurant 917â€™s,0,0,0,18,0,2,1,1
182.txt,first,0,0,0,5,0,1,0,0
182.txt,Restaurant 917â€™s,0,0,0,18,0,2,1,1
182.txt,techniques,0,-2,0,10,0,1,0,0
182.txt,Restaurant 917â€™s,0,0,0,18,0,2,1,1
134.txt,Slurpinâ€™ Ramen Bar,0,0,-2,20,1,3,1,1
134.txt,flavorful,0,0,0,9,0,1,0,0
134.txt,Slurpinâ€™ Ramen Bar,0,0,-2,20,1,3,1,1
134.txt,Slurpinâ€™ Ramen Bar,0,0,-2,20,1,3,1,1
24.txt,Wexler¡¯s Deli,0,0,0,14,1,2,1,1
24.txt,Santa Monica,0,-2,-2,12,1,2,0,0
24.txt,Micah Wexler,0,-2,0,12,1,2,0,0
24.txt,Jewish Deli culture,0,-2,0,19,0,3,0,0
24.txt,Wexler¡¯s second deli,0,0,-2,21,0,3,1,0
24.txt,Wexler¡¯s Deli,0,-2,0,14,1,2,1,1
24.txt,L.A.,1,0,-2,4,1,1,1,0
73.txt,Moruno,0,0,0,6,1,1,0,1
73.txt,Bar Moruno,0,0,0,10,1,2,0,1
73.txt,Los Angeles¡¯,0,0,-2,13,1,2,1,0
73.txt,Moruno,0,0,0,6,1,1,0,1
73.txt,ground-floor,0,0,0,12,0,1,1,0
73.txt,southern Spanish,0,0,0,16,0,2,0,0
73.txt,Moruno,0,0,0,6,1,1,0,1
176.txt,Benihana,1,0,0,8,1,1,0,1
176.txt,preparing,0,0,-2,9,0,1,0,0
176.txt,Benihana,0,0,0,8,1,1,0,1
176.txt,restaurant,0,0,0,10,0,1,0,0
176.txt,Benihana,0,-2,0,8,1,1,0,1
112.txt,Once,0,0,0,4,1,1,0,0
112.txt,Providence,0,-2,0,10,1,1,0,1
112.txt,Michael Cimarusti,0,0,0,17,1,2,0,0
112.txt,Providence,0,0,0,10,1,1,0,1
112.txt,Providence,0,0,0,10,1,1,0,1
173.txt,The Little Door,1,0,0,15,1,3,0,1
173.txt,channeling,0,0,-2,10,0,1,0,0
173.txt,glamor,0,0,0,6,0,1,0,0
173.txt,The Little Door,0,0,0,15,1,3,0,1
173.txt,The Little Door,1,0,0,15,1,3,0,1
65.txt,Zucca,0,0,0,5,1,1,0,1
65.txt,DineLA,0,0,-2,6,1,1,0,0
65.txt,proscuitto plate,0,0,0,16,0,2,0,0
65.txt,mushroom sauce,0,0,0,14,0,2,0,0
65.txt,Zucca,0,0,0,5,1,1,0,1
116.txt,Howlinâ€™ Rayâ€™s,0,0,-2,17,1,2,1,1
116.txt,hot chicken,0,0,0,11,0,2,0,0
116.txt,Howlinâ€™ Rayâ€™s,0,-2,-2,17,1,2,1,1
116.txt,juicy and tender,0,0,0,16,0,3,0,0
116.txt,Howlinâ€™ Rayâ€™s,0,0,-2,17,1,2,1,1
48.txt,Silver Lake's,0,0,0,13,1,2,1,1
48.txt,locals' hangout,0,0,0,15,0,2,1,0
48.txt,Wolfdown,0,0,0,8,1,1,0,1
48.txt,neighborhood,0,-2,0,12,0,1,0,0
48.txt,Rowena,0,-2,0,6,1,1,0,1
48.txt,friend's,0,0,0,8,0,1,1,0
86.txt,Cadet,1,0,0,5,1,1,0,1
86.txt,lists,0,0,0,5,0,1,0,0
86.txt,Cadet,0,0,0,5,1,1,0,1
