filename,instance,Positive Prewords,Negative Prewords,Contain Negative,len of char,All capatalized,len of words,including digit,labels
1.txt,Kali,1,0,0,4,1,1,0,1
1.txt,Melrose,0,-2,0,7,1,1,0,0
1.txt,Patina,0,0,-2,6,1,1,0,1
1.txt,Kevin Meehan,0,-2,-2,12,1,2,0,0
1.txt,Kali,1,0,0,4,1,1,0,1
1.txt,California,0,-2,0,10,1,1,0,0
1.txt,Kali's,0,-2,0,6,1,1,1,1
1.txt,New England,0,0,0,11,1,2,0,0
2.txt,L.A.'s,0,-2,-2,6,1,1,1,0
2.txt,Rahel and Marathon,0,0,-2,18,0,3,0,0
2.txt,Lalibela,1,0,0,8,1,1,0,1
2.txt,Lalibela,0,0,0,8,1,1,0,1
2.txt,Ethiopian,0,0,0,9,1,1,0,0
2.txt,poached chicken,0,0,0,15,0,2,0,0
2.txt,Lalibela,0,0,0,8,1,1,0,1
3.txt,Howlin Ray's,0,0,-2,12,1,2,1,1
3.txt,truck¨Cturned¨Cbrick-and-mortar,0,0,0,31,0,1,1,0
3.txt,Nashville,0,0,0,9,1,1,0,0
3.txt,Howlin Ray's,0,0,-2,12,1,2,1,1
3.txt,hot chicken,1,0,0,11,0,2,0,0
3.txt,Howlin Ray's,0,0,-2,12,1,2,1,1
3.txt,Howlin Ray's,0,0,-2,12,1,2,1,1
4.txt,Kali,1,0,0,4,1,1,0,1
4.txt,Patina,0,0,-2,6,1,1,0,1
4.txt,Kevin Meehan,0,-2,-2,12,1,2,0,0
4.txt,Kali,1,0,0,4,1,1,0,1
4.txt,California,0,-2,0,10,1,1,0,0
4.txt,Kali's,0,-2,0,6,1,1,1,1
5.txt,71Above,0,0,0,7,0,1,1,1
5.txt,Los Angeles,0,0,-2,11,1,2,0,0
5.txt,71Above,1,0,0,7,0,1,1,1
5.txt,Cliff's Edge,1,0,0,12,1,2,1,0
5.txt,71Above,1,0,0,7,0,1,1,1
5.txt,71Above,0,0,0,7,0,1,1,1
6.txt,Erven,1,0,0,5,1,1,0,1
6.txt,Saint Martha,0,0,-2,12,1,2,0,1
6.txt,Erven,0,0,0,5,1,1,0,1
6.txt,Erven's,0,0,0,7,1,1,1,1
6.txt,Erven,0,0,0,5,1,1,0,1
6.txt,pastries and juices,1,0,0,19,0,3,0,0
6.txt,salads,0,0,0,6,0,1,0,0
7.txt,Here's Looking at You,0,0,-2,21,0,4,1,1
7.txt,compelling places,0,0,-2,17,0,2,0,0
7.txt,in Koreatown,1,0,-2,12,0,2,0,0
7.txt,Animal,0,0,0,6,1,1,0,1
7.txt,Animal,1,0,0,6,1,1,0,1
7.txt,Here's Looking at You,0,0,-2,21,0,4,1,1
7.txt,Ca?a Rum Bar,0,0,0,12,1,3,1,1
7.txt,Animal,1,0,0,6,1,1,0,1
7.txt,Whitener's,0,0,0,10,1,1,1,0
7.txt,Animal's,0,0,0,8,1,1,1,1
7.txt,Animal,1,0,0,6,1,1,0,1
7.txt,Here's Looking at You,0,0,-2,21,0,4,1,1
8.txt,recent project,0,0,0,14,0,2,0,0
8.txt,Red Medicine,0,0,-2,12,1,2,0,1
8.txt,Red Medicine,0,0,-2,12,1,2,0,1
8.txt,Destroyer,0,0,0,9,1,1,0,1
8.txt,Red Medicine,0,0,-2,12,1,2,0,1
8.txt,Destroyer,0,-2,0,9,1,1,0,1
8.txt,Cauliflower,0,0,0,11,1,1,0,0
9.txt,Gwen,0,0,0,4,1,1,0,1
9.txt,Curtis Stone,0,-2,-2,12,1,2,0,0
9.txt,Luke Stone,0,0,-2,10,1,2,0,0
9.txt,meat importer,0,0,0,13,0,2,0,0
9.txt,Maude,1,-2,0,5,1,1,0,1
